id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.37906,2.19141,Private room,38,2,73,2019-10-15,0.74,1,364
40983,Classical loft close to pedrera!,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.3956,2.16761,Entire home/apt,130,2,327,2019-11-02,3.20,3,0
46153,CHIC BORN APARTMENT GREAT LOCATION ! FREE WIFI,90417,Etain (Marnie),Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38776,2.17782,Entire home/apt,46,32,2,2018-09-30,0.02,2,221
49213,"Descalzos en el parque, relaxing and  cool room",208154,Cate,Sants-Montjuïc,el Poble Sec,41.37315,2.1664,Private room,35,3,48,2019-09-27,0.63,2,101
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40631,2.16945,Entire home/apt,140,2,39,2019-09-02,0.39,14,345
50066,Sagrada Familia area - Sardenya 1,135703,Nick,Eixample,el Fort Pienc,41.39821,2.17966,Entire home/apt,180,2,55,2019-08-06,0.54,14,257
58512,Stylish & cozy 3BR near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.41099,2.18119,Entire home/apt,105,5,376,2019-10-29,3.59,1,229
61444,Bright apartment - Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.38901,2.16552,Entire home/apt,105,2,49,2019-11-03,0.65,5,287
67065,"Londres, Friendly Rentals",136853,Fidelio,Eixample,l'Antiga Esquerra de l'Eixample,41.39161,2.15089,Entire home/apt,77,1,81,2019-10-08,0.80,39,329
68547,two beds with private shower 30% off,340570,Atún,Ciutat Vella,el Barri Gòtic,41.38072,2.17811,Private room,49,2,89,2019-10-20,0.86,1,357
70099,"Room with a View, Bcn City Center",353987,Alex,Ciutat Vella,el Raval,41.37828,2.1708,Private room,49,2,358,2019-10-31,3.37,1,331
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41837,2.13419,Entire home/apt,250,7,1,2011-06-23,0.01,1,363
71553,"SPECIAL GAP PRICE,  NewYork times penthouse flat !",366654,Arian Watermelon Barcelona!,Eixample,el Fort Pienc,41.3974,2.17682,Entire home/apt,140,2,48,2019-10-21,0.46,10,365
71603,MODERNIST PENTHOUSE. 1bedroom apt with terrace,366654,Arian Watermelon Barcelona!,Eixample,la Dreta de l'Eixample,41.39038,2.17606,Entire home/apt,390,3,37,2019-06-02,0.35,10,365
71736,APARTMENT BY MONTHS CITY CENTER MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38321,2.16656,Entire home/apt,60,32,11,2016-07-14,0.11,4,365
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39837,2.20623,Hotel room,1000,1,256,2019-11-01,4.02,5,360
72793,RENT BY MONTH COLORIST APARTMENT MINIMUN 32 NITGHS,368317,Nacharosa,Ciutat Vella,el Raval,41.38248,2.16415,Entire home/apt,50,32,2,2014-08-27,0.02,4,365
73455,RAMBLAS FAMILY APARTMENT,383697,Anna,Ciutat Vella,el Raval,41.38422,2.16701,Entire home/apt,153,2,109,2019-10-20,1.39,16,294
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40506,2.17081,Entire home/apt,300,2,162,2019-10-08,1.58,14,346
73692,Rustic apartment : Rambla Catalunya (HUTB-005863),297545,Anil,Eixample,la Dreta de l'Eixample,41.39108,2.16521,Entire home/apt,105,2,40,2019-11-04,0.45,5,308
73693,Huge family apt with patio: Central (HUTB-005825),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37163,2.16591,Entire home/apt,65,2,44,2019-10-11,0.66,5,308
73700,Centrally located budget apartment (HUTB-005832),297545,Anil,Sants-Montjuïc,el Poble Sec,41.37335,2.16165,Entire home/apt,65,2,78,2019-10-29,0.89,5,328
74562,Cute Suite near the MACBA,382031,Lisette,Ciutat Vella,el Raval,41.38255,2.16836,Private room,60,3,201,2019-11-02,1.91,1,352
75003,130. Hércules Pequeño 41,396363,Oscar And Diego,Eixample,la Sagrada Família,41.40445,2.17765,Entire home/apt,87,2,11,2019-08-14,0.11,99,330
75411,Sagrada Familia Clot Patio,400154,Mireia,Sant Martí,el Clot,41.40825,2.18729,Entire home/apt,125,3,29,2019-11-02,0.30,5,314
80004,Parc Montjuic HUTB (Phone number hidden by Airbnb),431839,Xavier,Sants-Montjuïc,el Poble Sec,41.37188,2.16656,Entire home/apt,107,4,126,2019-10-06,1.22,1,73
83283,★PLAZA ©ATALUÑA ®oom x2 + private bath®oom+wifi,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38227,2.16141,Private room,38,3,107,2019-10-20,1.03,4,89
89756,"BCN-RENTALS RAMBLA 1, just 7-10 min to Ramblas",488117,David Y Maria,Ciutat Vella,el Raval,41.37815,2.16894,Entire home/apt,350,6,16,2019-10-19,0.19,6,275
89776,Modernist flat Downtown Casa Estapé | Barcelona,488151,Calie,Eixample,el Fort Pienc,41.39377,2.1795,Entire home/apt,65,3,318,2019-10-28,3.26,1,220
95719,Lovely room for you in the heart of Barcelona,509260,Dalila,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.3839,2.18011,Private room,53,2,230,2019-10-20,2.21,1,323
97529,CENTRAL  FURNISHED 1 ENSUITE BEDROOM APARTMENT,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40906,2.16539,Entire home/apt,40,60,64,2019-08-23,0.66,1,96
100256,"BARCELONA CENTRO EN LA PLAYA ,WIFI",527201,Peca,Ciutat Vella,la Barceloneta,41.37983,2.19249,Entire home/apt,95,32,54,2019-09-22,0.60,2,88
104485,Best Location guarantee!,543801,Pinar,Eixample,l'Antiga Esquerra de l'Eixample,41.39119,2.15641,Private room,35,2,189,2019-11-04,1.89,1,336
107437,Beautiful Villa surrounded by nature  in Barcelona,556626,Cristina,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",41.42864,2.09159,Entire home/apt,148,3,54,2019-10-28,0.53,1,303
109462,026. Industria Ático Apartment,396363,Oscar And Diego,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40264,2.16717,Entire home/apt,89,2,2,2019-05-17,0.24,99,358
110041,002. Alió 2 Apartment,396363,Oscar And Diego,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40244,2.16564,Entire home/apt,84,2,14,2019-10-27,0.16,99,356
110098,023. Gignàs Gótic Apartment,396363,Oscar And Diego,Ciutat Vella,el Barri Gòtic,41.3805,2.17932,Entire home/apt,84,2,16,2019-10-29,0.16,99,320
112538,Design Flat in the very center 5.3,567180,Sandra,Eixample,la Sagrada Família,41.40549,2.17368,Entire home/apt,200,4,79,2019-06-23,0.77,13,91
117010,Spacious Flat near Sagrada Familia,567180,Sandra,Eixample,la Sagrada Família,41.40745,2.17401,Entire home/apt,220,2,35,2018-11-21,0.35,13,89
118228,Design Flat in the very center,567180,Sandra,Eixample,la Sagrada Família,41.40593,2.17575,Entire home/apt,230,2,15,2017-02-19,0.15,13,85
119546,BCN HUGEROOM DTOWN PRIVATE BATHROOM.,603336,Kiko,Ciutat Vella,el Raval,41.37969,2.16532,Private room,55,3,311,2019-11-03,3.02,1,354
128463,Private Suite in residential area!!,635253,Sebastian,Sants-Montjuïc,Sants,41.37242,2.13637,Private room,45,3,273,2019-11-07,2.74,1,303
130227,Spacious Room with Pool and Terrace,641496,Dolors,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40646,2.21282,Private room,50,2,103,2019-10-27,1.53,1,278
135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,664196,Teresa,Sant Martí,el Poblenou,41.39841,2.20613,Entire home/apt,80,2,124,2019-10-23,1.26,1,351
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,Les Corts,Pedralbes,41.38846,2.12351,Private room,35,30,128,2019-08-27,1.29,5,286
138055,Design Flat in the Very Center,567180,Sandra,Eixample,la Sagrada Família,41.40764,2.17573,Entire home/apt,250,3,90,2019-10-06,2.19,13,0
142121,You clean Barcelona Refuge 2 of 2,620454,Reinhard,Ciutat Vella,el Barri Gòtic,41.38169,2.17553,Entire home/apt,44,31,27,2017-09-20,0.28,2,202
144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,700165,Wonderful Barcelona,Eixample,Sant Antoni,41.38226,2.15898,Private room,38,3,36,2019-10-18,0.35,4,89
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42318,2.17501,Private room,14,4,91,2019-10-26,1.66,1,313
153376,Single room. central and quite,737399,Omar,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38792,2.17768,Private room,65,2,7,2019-10-11,1.32,1,0
154281,"Nice bedroom in a Loft, El Raval",742068,R&M,Ciutat Vella,el Raval,41.37799,2.17281,Private room,50,2,275,2019-10-22,2.78,2,111
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,41.39106,2.1509,Private room,39,7,77,2019-10-01,0.77,1,127
158238,CENTRAL Wi Fi  w/TERRASSE 8 people,759411,Raquel,Les Corts,les Corts,41.38416,2.13636,Entire home/apt,180,2,116,2019-08-10,1.15,3,0
162091,Cosy Apartment in Sagrada Familia,567180,Sandra,Eixample,la Sagrada Família,41.40532,2.17427,Entire home/apt,149,2,41,2018-12-09,0.45,13,91
163490,"AMAZING COZY 2Bd, PLAZA CATALUÑA!",713364,Horacio,Eixample,la Dreta de l'Eixample,41.39106,2.17662,Entire home/apt,160,3,159,2019-10-19,1.76,1,33
164456,Bedroom+pvt bathroom+pvt living,784341,Paola,Ciutat Vella,el Barri Gòtic,41.38341,2.17257,Private room,70,5,97,2019-07-07,0.99,2,333
168172,JOIOSA BEACH - Kissing the beach!,801450,Frederick,Ciutat Vella,la Barceloneta,41.37821,2.19025,Entire home/apt,100,2,10,2019-10-22,0.11,2,172
171646,Sagrada Familia Clot Atico,400154,Mireia,Sant Martí,el Clot,41.40696,2.18711,Entire home/apt,105,3,42,2019-10-02,0.53,5,317
171816,Sagrada Familia Clot Vista,400154,Mireia,Sant Martí,el Camp de l'Arpa del Clot,41.40828,2.18622,Entire home/apt,115,3,10,2019-08-21,0.13,5,324
174382,Design Flat in The Very Center,567180,Sandra,Eixample,la Sagrada Família,41.40616,2.17423,Entire home/apt,149,2,56,2019-10-04,1.13,13,89
179550,Room for rent in BCN/ non smoker,859557,Montse,Sant Andreu,Sant Andreu,41.43484,2.19234,Private room,20,10,6,2016-12-01,0.06,1,98
179619,Affordable Barcelona for you!,860071,Joan,Sants-Montjuïc,Sants,41.37151,2.13607,Private room,27,3,50,2018-09-28,0.50,3,312
181824,Double bedroom with terrace + pool,852032,Brais,Sant Martí,Provençals del Poblenou,41.40846,2.2042,Private room,39,2,272,2019-10-24,2.71,1,36
184516,lovely huge 30mq room with pvt bathroom,784341,Paola,Ciutat Vella,el Barri Gòtic,41.38199,2.17357,Private room,80,3,47,2019-07-17,0.48,2,99
186540,Fully equipped loft near Sagrada Familia,896554,Josep Lluís,Sant Martí,el Clot,41.41076,2.19078,Entire home/apt,36,32,10,2019-05-08,0.25,1,63
186542,Lovely and sunny double room in BCN,896372,Marina,Eixample,la Dreta de l'Eixample,41.39326,2.17386,Private room,33,2,49,2013-06-20,0.49,1,210
186598,Double room and cozy,896690,Mona,Ciutat Vella,el Raval,41.3818,2.16527,Private room,35,2,378,2019-11-04,3.82,1,253
188267,SPECIAL GAP PROMOTION  3 BR Balconies at center,366654,Arian Watermelon Barcelona!,Eixample,la Dreta de l'Eixample,41.39368,2.17614,Entire home/apt,340,2,80,2019-10-13,0.81,10,365
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.39009,2.12588,Private room,46,7,1,2016-06-09,0.02,1,0
193923,Single room in the real Barcelona,939590,Mónica,Horta-Guinardó,Horta,41.43846,2.1556,Private room,20,3,123,2019-10-06,1.23,1,305
194460,Double Private room with breakfast near the beach,944355,Luis Alberto,Sant Martí,el Besòs i el Maresme,41.41431,2.21686,Private room,21,2,318,2019-10-27,3.28,1,278
196021,Old-time-charm apartment with patio!,953719,Maria,Eixample,l'Antiga Esquerra de l'Eixample,41.38796,2.15946,Entire home/apt,310,5,248,2019-10-21,2.51,3,257
196196,Large Flat next to Sagrada Familia,567180,Sandra,Eixample,la Sagrada Família,41.40625,2.17512,Entire home/apt,220,30,88,2019-04-28,0.89,13,82
198958,STUNNING sea view + pool Barcelona!,971768,Akira,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.40735,2.21294,Entire home/apt,190,1,58,2019-10-28,0.63,15,229
199422,Modern apt near beach & city center,971768,Akira,Eixample,el Fort Pienc,41.3969,2.1823,Entire home/apt,75,1,79,2019-10-24,0.80,15,282
199794,Centric Double Room Private Bathroom - month  rent,440825,Teresa,Eixample,l'Antiga Esquerra de l'Eixample,41.38336,2.15853,Private room,35,1,91,2019-10-20,1.20,1,104
206122,Amazing Loft in BCN Center,1013855,Alejandro,Gràcia,la Vila de Gràcia,41.3984,2.15801,Entire home/apt,96,3,163,2019-10-28,1.69,5,332
206167,"BRIGHT, COMFY AND CENTRAL",1014050,Minerva,Sants-Montjuïc,el Poble Sec,41.37406,2.16524,Entire home/apt,120,3,88,2019-11-03,0.90,1,16
206846,Duplex studio near Picasso Museum,612665,Oscar,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38743,2.17847,Entire home/apt,128,31,77,2019-10-09,0.82,8,197
209673,Sweet Apartment in Gràcia district!,1033366,Elena,Gràcia,la Vila de Gràcia,41.39895,2.15742,Entire home/apt,77,2,246,2019-10-24,2.95,1,305
213296,Big/Centric Room-Palau de la Musica,1100014,Sol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38771,2.1763,Private room,40,3,285,2019-10-26,3.13,3,357
213368,Lovely room Barcelona up 2 people,1037730,Elisagela Cristina,Gràcia,la Salut,41.413,2.159,Private room,55,2,50,2019-10-09,0.51,2,342
213581,Room Centric + Personal Dressing,1100014,Sol,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38818,2.17571,Private room,32,3,234,2019-10-11,2.48,3,328
214970,Cozy Room in central flat Barcelona,1110014,Janeth,Sants-Montjuïc,el Poble Sec,41.37171,2.16412,Private room,35,4,140,2019-11-06,1.55,1,341
216699,SUPER CENTRAL CUTE DOUBLE ROOM+TERRACE!,1118232,Fran,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38484,2.17796,Private room,42,3,288,2019-10-06,3.01,1,75
218503,"Single room next to Bogatell Beach / 单间,旁边的海滩",1130143,Jan,Sant Martí,el Poblenou,41.39765,2.20739,Private room,30,3,53,2019-10-07,0.58,2,259
228638,Dble room in BCN with yoga shala,1190018,Maria Y Lucas,Gràcia,Vallcarca i els Penitents,41.41153,2.14695,Private room,40,2,18,2019-09-25,0.20,1,99
232400,DESIGNER DUPLEX SPA & TERRACE,4369049,Ariadna,Gràcia,la Vila de Gràcia,41.39745,2.1549,Entire home/apt,95,3,279,2019-10-21,3.00,2,167
234375,ATTIC VIEWS SAGRADA FAMILIA,1227290,Francesca,Eixample,el Fort Pienc,41.39918,2.1752,Entire home/apt,105,5,38,2019-11-03,0.93,1,133
238703,Comfy Flat in Sagrada Familia,567180,Sandra,Eixample,la Sagrada Família,41.40571,2.17505,Entire home/apt,149,2,62,2018-08-13,0.95,13,87
239492,CozyRoom&Garden Priv.Bathroom AC,1255733,Antonia,Sants-Montjuïc,el Poble Sec,41.37026,2.16103,Private room,44,4,195,2019-10-12,2.02,2,72
239821,"APARTAMENT BCN MIRALL, in the best neighborhood",1257705,José Luis,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39607,2.14534,Entire home/apt,142,1,26,2019-08-09,0.45,3,313
250016,"Excellent - 3 bedrooms, 2 bathrooms - Gothic",1310304,Luis,Ciutat Vella,el Barri Gòtic,41.38732,2.17367,Entire home/apt,65,50,2,2019-05-17,0.02,29,278
251424,NICE ROOMS FOR RENT IN BARCELONA,1318630,Olga,Eixample,la Dreta de l'Eixample,41.38957,2.1625,Private room,60,2,47,2019-02-26,0.72,4,307
252232,Nice apartment with POOL BARCELONA,1298586,Kristjan Y Ana,Sant Martí,Sant Martí de Provençals,41.41531,2.20069,Entire home/apt,83,2,111,2019-10-08,1.19,6,143
255195,Lightly apartment with balcony to Las Ramblas,1310304,Luis,Ciutat Vella,el Raval,41.38151,2.17187,Entire home/apt,41,32,13,2019-08-18,0.14,29,329
256354,tranquila room in cosy flat....,1348378,Lidia,Gràcia,Vallcarca i els Penitents,41.41446,2.13945,Private room,23,30,46,2019-11-06,0.50,2,267
256628,"Cozy bedroom in a loft, el Raval.",742068,R&M,Ciutat Vella,el Raval,41.37654,2.17385,Private room,40,2,240,2019-10-26,2.51,2,131
256677,Barcelona Center!The Gothic Area,1350468,Petrutz,Ciutat Vella,el Barri Gòtic,41.38065,2.17629,Private room,50,3,154,2019-10-24,1.69,1,360
256982,Centric spacious nostalgic Room,1352184,Jasmin,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38406,2.17926,Private room,40,3,106,2019-10-23,1.16,1,343
261750,THEVINTAGERENTALS Delux 5 bedrooms Pg de Gracia,1369675,Javier,Gràcia,la Vila de Gràcia,41.39809,2.15839,Entire home/apt,350,3,12,2019-07-21,0.13,4,347
264125,Sagrada Familia 5' Metro WIFI fibre,1377744,Esther & Gemma,Sant Martí,el Camp de l'Arpa del Clot,41.41242,2.17624,Entire home/apt,89,4,228,2019-10-23,2.44,2,338
267816,Luxury Motor Yacht in Barcelona Port Olímpic near Casino,1404293,Sergio,Ciutat Vella,el Barri Gòtic,41.379,2.18327,Entire home/apt,900,2,23,2019-10-18,0.25,1,360
268017,Cosy apartment 3 bedrooms,1405013,"Bcn Clols Apartments, S.L.",Eixample,la Dreta de l'Eixample,41.3939,2.17154,Entire home/apt,199,1,8,2019-05-13,0.09,16,331
268022,Charming 3 bedrooms apartment,1405013,"Bcn Clols Apartments, S.L.",Eixample,la Dreta de l'Eixample,41.39288,2.16987,Entire home/apt,199,1,9,2019-05-02,0.26,16,332
268417,Cozy Room near the Center. 2 línes underg.Eixample,1406951,Salva,Eixample,la Nova Esquerra de l'Eixample,41.37687,2.14979,Private room,36,3,194,2019-10-28,2.62,1,249
269467,Sunny and quiet Loft next to Sagrada Familia,1411775,Jeremies,Eixample,la Sagrada Família,41.40338,2.17685,Entire home/apt,110,7,52,2019-11-02,2.30,3,0
270050,Double Room in El vaixell de paper,1414100,Xavier,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38466,2.18,Private room,48,1,424,2019-10-26,4.38,2,83
271996,GR Apartment near Sagrada Familia,155686,Sonia,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40279,2.16612,Entire home/apt,51,31,13,2018-08-15,0.13,2,241
272282,Exquisito apartamento con espacios abiertos y luz,1425070,Mar,Eixample,la Nova Esquerra de l'Eixample,41.38237,2.15769,Entire home/apt,290,3,283,2019-10-24,3.16,1,34
273229,Confortable and very well located,1429552,Marta,Eixample,Sant Antoni,41.37704,2.15782,Entire home/apt,72,7,129,2019-10-29,1.42,1,155
273932,Oriental Design apartment,1432835,Angel,Eixample,l'Antiga Esquerra de l'Eixample,41.39053,2.15794,Entire home/apt,100,3,164,2019-10-22,1.74,37,41
275336,Charming 3BR just off Gran Via,1435464,Jaume,Eixample,la Nova Esquerra de l'Eixample,41.38294,2.15728,Entire home/apt,130,3,96,2019-11-04,1.09,20,340
275346,Sunny terrace penthouse by Camp Nou Free Nespresso,1435464,Jaume,Sarrià-Sant Gervasi,Sarrià,41.3924,2.12314,Entire home/apt,215,3,40,2019-09-24,0.45,20,317
275350,"Parsifal-Front Row Seat on La Rambla, Blend of Character and Modernity",1435464,Jaume,Ciutat Vella,el Raval,41.3796,2.17352,Entire home/apt,100,32,49,2019-08-10,0.71,20,302
275889,La Rambla Zen 1BR apt in Center,1435464,Jaume,Ciutat Vella,el Raval,41.38191,2.1714,Entire home/apt,72,32,9,2018-10-20,0.10,20,180
276324,COMFORTABLE IN GRACE APARTMENT ,1443815,Francisca,Gràcia,la Vila de Gràcia,41.40098,2.16085,Entire home/apt,90,5,57,2019-11-03,0.62,1,349
276527,Nice rustic apartament - Parc Güell,1444707,Jesus,Gràcia,el Coll,41.42027,2.14873,Entire home/apt,95,2,332,2019-11-09,3.52,2,147
278036,Big Sunny Room - Paseo de Gracia,1451449,Pedro & Rita,Eixample,la Dreta de l'Eixample,41.3902,2.16674,Private room,45,5,169,2019-10-23,1.83,6,75
279439,Cozy room for 3 in city center (Room #1),1457147,Piero,Ciutat Vella,el Raval,41.37889,2.17314,Private room,50,2,144,2019-10-27,1.53,3,68
281978,Big Private Room - Paseo de Gracia,1451449,Pedro & Rita,Eixample,la Dreta de l'Eixample,41.39111,2.16677,Private room,45,5,122,2019-10-24,1.28,6,152
281985,Medium Sise Room - Paseo de Gracia,1451449,Pedro & Rita,Eixample,la Dreta de l'Eixample,41.39316,2.16559,Private room,30,4,155,2019-10-27,1.62,6,75
282679,"Charming Penthouse,two amazing terraces",1354169,Valentin,Eixample,Sant Antoni,41.38034,2.15823,Entire home/apt,225,4,28,2019-10-14,0.32,3,335
283231,FANTASTIC20m2TerraceVIEW-@800m BEACH/BORN/GOTIC,1475411,Francesco,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.39121,2.18665,Entire home/apt,85,1,198,2019-10-28,2.10,1,301
286105,Room at Gran Via Barcelona Spain,1489008,Anne Li,Eixample,el Fort Pienc,41.40034,2.183,Private room,40,30,1,2014-06-03,0.02,1,312
288034,JANUARY BARCELONA QUIET & WITH TERRACE NICE FLAT!,1447144,Acomodis Apartments,Eixample,la Nova Esquerra de l'Eixample,41.38791,2.15064,Entire home/apt,80,3,18,2019-10-20,0.20,90,365
288781,Private terrace in Old town,1411775,Jeremies,Ciutat Vella,el Raval,41.37806,2.16472,Entire home/apt,47,32,0,,,3,321
289405,MAGIC ROOM IN GÒTIC *1! CENTRE!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38178,2.17463,Private room,33,32,5,2017-08-14,0.05,83,281
289600,MAGIC ROOM GOTIC * 2! CITY CENTRE!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38296,2.17411,Private room,33,32,1,2014-06-30,0.02,83,325
289616,MAGIC ROOM CITY CENTER! * GÒTIC 5!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38373,2.17412,Private room,29,32,2,2018-02-22,0.02,83,281
289761,MAGIC ROOM GOTIC * 6! CITY CENTRE!,1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38292,2.17422,Private room,27,32,0,,,83,312
290592,Views SagradaFamilia + metro + WIFI,1377744,Esther & Gemma,Eixample,la Sagrada Família,41.41087,2.17644,Entire home/apt,69,4,229,2019-10-21,2.49,2,323
295200,Attic penthouse with private terrace,612665,Oscar,Gràcia,la Vila de Gràcia,41.40771,2.15987,Entire home/apt,110,3,148,2019-10-08,1.56,8,206
296287,Nice room in Barcelona Gòtic (3),1503151,Laia,Ciutat Vella,el Barri Gòtic,41.38295,2.17484,Private room,24,32,10,2019-09-21,2.13,83,0
297066,"3 rooms, 2 bathrooms in the touristic city centre",1541784,Aga,Sants-Montjuïc,el Poble Sec,41.37336,2.16997,Entire home/apt,126,1,575,2019-11-01,6.14,1,332
302179,Cozy apartment in the city center,1432835,Angel,Eixample,l'Antiga Esquerra de l'Eixample,41.38817,2.15876,Entire home/apt,90,3,168,2019-10-19,1.89,37,45
305213,PLATANEROS - BRIGHT CENTRAL APT,1570247,Irene,Eixample,Sant Antoni,41.37669,2.16532,Entire home/apt,126,7,249,2019-10-22,2.77,1,152
308166,"ARTIST HOUSE IN DOWNTOWN, GAUDI, LIGHT SUN",1561612,Carlos,Eixample,la Dreta de l'Eixample,41.39253,2.15888,Entire home/apt,195,3,176,2019-11-01,1.89,1,129
315769,Sagrada Familia vintage apartment,1994100,Marcello,Eixample,la Sagrada Família,41.40577,2.17324,Entire home/apt,100,3,16,2019-09-24,0.17,3,312
318865,A penthouse two terraces in Gracia,1608447,Carla,Gràcia,la Vila de Gràcia,41.40048,2.158,Entire home/apt,76,3,208,2019-11-04,2.28,1,27
320506,The Loft Barcelona,1642180,The Loft,Sants-Montjuïc,el Poble Sec,41.37186,2.16803,Entire home/apt,115,4,50,2019-01-02,0.53,1,277
322268,AMAZING LOCATION & SPACIOUS APART,1650460,Maria,Ciutat Vella,el Barri Gòtic,41.37949,2.17725,Entire home/apt,60,32,89,2019-10-13,0.95,1,66
